iter	Passed	Remaining
691	7824	3482
692	7834	3470
693	7846	3459
694	7858	3448
695	7867	3436
696	7877	3424
697	7886	3412
698	7899	3401
699	7911	3390
700	7920	3378
701	7929	3366
702	7939	3354
703	7948	3342
704	7958	3330
705	7970	3319
706	7981	3307
707	7992	3296
708	8004	3285
709	8016	3274
710	8028	3263
711	8040	3252
712	8052	3241
713	8062	3229
714	8072	3217
715	8083	3206
716	8093	3194
717	8104	3183
718	8114	3171
719	8124	3159
720	8134	3147
721	8143	3135
722	8155	3124
723	8167	3113
724	8179	3102
725	8188	3090
726	8200	3079
727	8212	3068
728	8222	3056
729	8234	3045
730	8245	3034
731	8257	3023
732	8269	3012
733	8278	3000
734	8291	2989
735	8301	2977
736	8312	2966
737	8323	2955
738	8333	2943
739	8345	2932
740	8357	2921
741	8368	2909
742	8379	2898
743	8388	2886
744	8398	2874
745	8410	2863
746	8423	2852
747	8435	2841
748	8446	2830
749	8459	2819
750	8470	2808
751	8482	2797
752	8495	2786
753	8505	2775
754	8518	2764
755	8530	2753
756	8539	2741
757	8550	2729
758	8561	2718
759	8570	2706
760	8581	2695
761	8594	2684
762	8604	2672
763	8617	2661
764	8629	2650
765	8640	2639
766	8651	2628
767	8662	2616
768	8673	2605
769	8686	2594
770	8698	2583
771	8708	2572
772	8719	2560
773	8728	2548
774	8738	2537
775	8748	2525
776	8758	2513
777	8768	2501
778	8779	2490
779	8790	2479
780	8800	2467
781	8813	2456
782	8823	2445
783	8833	2433
784	8843	2422
785	8855	2411
786	8866	2399
787	8877	2388
788	8888	2376
789	8897	2365
790	8909	2354
791	8921	2343
792	8930	2331
793	8940	2319
794	8949	2307
795	8960	2296
796	8972	2285
797	8983	2274
798	8995	2262
799	9005	2251
800	9018	2240
801	9030	2229
802	9042	2218
803	9051	2206
804	9063	2195
805	9075	2184
806	9085	2172
807	9094	2161
808	9105	2149
809	9117	2138
810	9129	2127
811	9139	2116
812	9149	2104
813	9160	2093
814	9171	2081
815	9183	2070
816	9194	2059
817	9205	2048
818	9219	2037
819	9230	2026
820	9240	2014
821	9250	2003
822	9260	1991
823	9270	1980
824	9280	1968
825	9289	1956
826	9302	1945
827	9314	1934
828	9325	1923
829	9336	1912
830	9348	1901
831	9359	1889
832	9370	1878
833	9380	1867
834	9392	1855
835	9404	1844
836	9415	1833
837	9425	1822
838	9435	1810
839	9445	1799
840	9456	1787
841	9467	1776
842	9478	1765
843	9488	1753
844	9500	1742
845	9509	1731
846	9519	1719
847	9530	1708
848	9541	1697
849	9553	1685
850	9563	1674
851	9575	1663
852	9584	1651
853	9593	1640
854	9603	1628
855	9615	1617
856	9627	1606
857	9638	1595
858	9648	1583
859	9661	1572
860	9670	1561
861	9681	1549
862	9693	1538
863	9702	1527
864	9712	1515
865	9722	1504
866	9733	1493
867	9743	1481
868	9752	1470
869	9763	1458
870	9772	1447
871	9785	1436
872	9797	1425
873	9810	1414
874	9821	1403
875	9831	1391
876	9842	1380
877	9852	1369
878	9862	1357
879	9872	1346
880	9885	1335
881	9898	1324
882	9909	1313
883	9919	1301
884	9930	1290
885	9940	1279
886	9950	1267
887	9962	1256
888	9973	1245
889	9984	1233
890	9993	1222
891	10006	1211
892	10018	1200
893	10031	1189
894	10042	1178
895	10052	1166
896	10064	1155
897	10074	1144
898	10085	1133
899	10097	1121
900	10107	1110
901	10119	1099
902	10128	1088
903	10141	1076
904	10153	1065
